Product,Name,Price (INR),Rating,Comment Heading,Comment
"OnePlus 7 (Red, 256 GB)",PRABU K,31285.0,5,Terrific,camera and performance sema great mobile.Sound quality super.
"OnePlus 7 (Red, 256 GB)",Sanjay Jain,31285.0,5,Super!,good
"OnePlus 7 (Red, 256 GB)",Priyankar Dutta,31285.0,5,Terrific,great device....awesome performance... good for gamming
"OnePlus 7 (Red, 256 GB)",pawan singh,31285.0,5,Just wow!,very good
"OnePlus 7 (Red, 256 GB)",HEMANT KUMAR,31285.0,5,Excellent,Nice product
"OnePlus 7 (Red, 256 GB)",Sruhan Kumar Ravikanti,31285.0,5,Mind-blowing purchase,i'am very happy to say it's very great mobile.
"OnePlus 7 (Red, 256 GB)",Sahil  Aryan,31285.0,5,Awesome,very good phone......🥰and very smooth....
"OnePlus 7 (Red, 256 GB)",Rahul Saha,31285.0,5,Highly recommended,"Hi, guys don't think twice, just go for it.   Battery capacity 3700 mah but don't think it's less it goes 3days on normal use(social media, call, bit gaming, few photos). Because it has inbilt dark mode which reduces the battery consumption.   Power # it's a BEAST.  you can feel it, I was doing research for 2months  before buying it but at last I brought it coz in every way OnePlus 7 wins.Camera 5/5Speed. 5/5Design. 5/5Battery. 5/5Worthy. 5/5"
"OnePlus 7 (Red, 256 GB)",Vishal Vickey,31285.0,5,Must buy!,Camera not satisfied but phone is wonderful product I love it 🤩
"OnePlus 7 (Red, 256 GB)",Devashish Singh Maibam,31285.0,5,Super!,5 Star
"OnePlus 7 (Red, 256 GB)",No Name,31285.0,No Rating,No Comment Heading,
"OnePlus 7 (Mirror Grey, 256 GB)",PRABU K,34417.0,5,Terrific,camera and performance sema great mobile.Sound quality super.
"OnePlus 7 (Mirror Grey, 256 GB)",Sanjay Jain,34417.0,5,Super!,good
"OnePlus 7 (Mirror Grey, 256 GB)",Priyankar Dutta,34417.0,5,Terrific,great device....awesome performance... good for gamming
"OnePlus 7 (Mirror Grey, 256 GB)",pawan singh,34417.0,5,Just wow!,very good
"OnePlus 7 (Mirror Grey, 256 GB)",HEMANT KUMAR,34417.0,5,Excellent,Nice product
"OnePlus 7 (Mirror Grey, 256 GB)",Sruhan Kumar Ravikanti,34417.0,5,Mind-blowing purchase,i'am very happy to say it's very great mobile.
"OnePlus 7 (Mirror Grey, 256 GB)",Sahil  Aryan,34417.0,5,Awesome,very good phone......🥰and very smooth....
"OnePlus 7 (Mirror Grey, 256 GB)",Rahul Saha,34417.0,5,Highly recommended,"Hi, guys don't think twice, just go for it.   Battery capacity 3700 mah but don't think it's less it goes 3days on normal use(social media, call, bit gaming, few photos). Because it has inbilt dark mode which reduces the battery consumption.   Power # it's a BEAST.  you can feel it, I was doing research for 2months  before buying it but at last I brought it coz in every way OnePlus 7 wins.Camera 5/5Speed. 5/5Design. 5/5Battery. 5/5Worthy. 5/5"
"OnePlus 7 (Mirror Grey, 256 GB)",Vishal Vickey,34417.0,5,Must buy!,Camera not satisfied but phone is wonderful product I love it 🤩
"OnePlus 7 (Mirror Grey, 256 GB)",Devashish Singh Maibam,34417.0,5,Super!,5 Star
"OnePlus 7 (Mirror Grey, 256 GB)",No Name,34417.0,No Rating,No Comment Heading,
"OnePlus 7 (Mirror Grey, 128 GB)",Flipkart Customer,29999.0,5,Highly recommended,super performance
"OnePlus 7 (Mirror Grey, 128 GB)",Akash Patel,29999.0,5,Must buy!,photo
"OnePlus 7 (Mirror Grey, 128 GB)",V33r Pruthibraj Singh,29999.0,5,Terrific purchase,excellent
"OnePlus 7 (Mirror Grey, 128 GB)",yadul v,29999.0,5,Super!,Just I love this one...
"OnePlus 7 (Mirror Grey, 128 GB)",Chandra Mouli,29999.0,5,Must buy!,superb mobile I loved it
"OnePlus 7 (Mirror Grey, 128 GB)",Ankan chowdhury,29999.0,5,Highly recommended,actually value for money wuth awsm camera.love it
"OnePlus 7 (Mirror Grey, 128 GB)",Gullapudi  Rohith ,29999.0,5,Wonderful,excellent
"OnePlus 7 (Mirror Grey, 128 GB)",Bunty  Yadav,29999.0,5,Worth every penny,Awesome product..
"OnePlus 7 (Mirror Grey, 128 GB)",Soosai Joel,29999.0,5,Highly recommended,osm camera😍😘😘
"OnePlus 7 (Mirror Grey, 128 GB)",swapna  srivastava,29999.0,5,Best in the market!,best phone totally loved it
"OnePlus 7 (Mirror Grey, 128 GB)",No Name,29999.0,No Rating,No Comment Heading,
"OnePlus 7 (Mirror Blue, 128 GB)",Flipkart Customer,29999.0,5,Highly recommended,super performance
"OnePlus 7 (Mirror Blue, 128 GB)",Akash Patel,29999.0,5,Must buy!,photo
"OnePlus 7 (Mirror Blue, 128 GB)",V33r Pruthibraj Singh,29999.0,5,Terrific purchase,excellent
"OnePlus 7 (Mirror Blue, 128 GB)",yadul v,29999.0,5,Super!,Just I love this one...
"OnePlus 7 (Mirror Blue, 128 GB)",Chandra Mouli,29999.0,5,Must buy!,superb mobile I loved it
"OnePlus 7 (Mirror Blue, 128 GB)",Ankan chowdhury,29999.0,5,Highly recommended,actually value for money wuth awsm camera.love it
"OnePlus 7 (Mirror Blue, 128 GB)",Gullapudi  Rohith ,29999.0,5,Wonderful,excellent
"OnePlus 7 (Mirror Blue, 128 GB)",Bunty  Yadav,29999.0,5,Worth every penny,Awesome product..
"OnePlus 7 (Mirror Blue, 128 GB)",Soosai Joel,29999.0,5,Highly recommended,osm camera😍😘😘
"OnePlus 7 (Mirror Blue, 128 GB)",swapna  srivastava,29999.0,5,Best in the market!,best phone totally loved it
"OnePlus 7 (Mirror Blue, 128 GB)",No Name,29999.0,No Rating,No Comment Heading,
